,id,task,dataset,description,mirror_url
127,translation-heb-swe-on-flores101-devtest,translation-heb-swe,flores101-devtest,,
128,translation-dan-ita-on-flores101-devtest,translation-dan-ita,flores101-devtest,,
129,translation-eng-swe-on-flores101-devtest,translation-eng-swe,flores101-devtest,,
130,translation-hrv-ita-on-flores101-devtest,translation-hrv-ita,flores101-devtest,,
131,weakly-supervised-object-detection-on-comic2k,weakly-supervised-object-detection,comic2k,,
132,topic-classification-on-os,topic-classification,os,,
133,speech-recognition-on-poeta-ex-machina-mp3,speech-recognition,poeta-ex-machina-mp3-recitations,,
134,translation-bel-fra-on-tatoeba-test-v2020-07,translation-bel-fra,tatoeba-test-v2020-07-28-v2021-08-07,,
135,unsupervised-saliency-detection-on-duts,unsupervised-saliency-detection,duts,,
136,visual-object-tracking-on-totb,visual-object-tracking,totb,,
137,translation-multi-fra-on-tatoeba-test-v2020,translation-multi-fra,tatoeba-test-v2020-07-28-v2021-08-07,,
138,video-story-qa-on-movieqa,video-story-qa,movieqa,,
139,unsupervised-monocular-depth-estimation-on-5,unsupervised-monocular-depth-estimation,kitti-raw,,
140,semantic-frame-parsing-on-mixsnips,semantic-frame-parsing,mixsnips,,
141,3d-object-detection-on-scannetv2,3d-object-detection,scannetv2,,
142,surface-normals-estimation-on-scannetv2,surface-normals-estimation,scannetv2,,
143,image-captioning-on-banglalekhaimagecaptions,image-captioning,banglalekhaimagecaptions,,
144,speech-recognition-on-common-voice-1,speech-recognition,common-voice-kinyarwanda,,
145,video-super-resolution-on-msu-super-1,video-super-resolution,msu-super-resolution-for-video-compression,,
146,3d-pose-estimation-on-google-yoga,3d-pose-estimation,google-yoga,,
147,keyphrase-generation-on-openkp,keyphrase-generation,openkp,,
148,aerial-scene-classification-on-ucm-80-as,aerial-scene-classification,ucm-80-as-trainset,,
149,speech-recognition-on-common-voice-9-0-1,speech-recognition,common-voice-9-0-marathi,,
150,multi-class-classification-on-emotion,multi-class-classification,emotion-1,,
151,human-parsing-on-pascal-context,human-parsing,pascal-context,,
152,winogrande-on-big-bench,winogrande,big-bench,,
153,formal-fallacies-syllogisms-negation-on-big,formal-fallacies-syllogisms-negation,big-bench,,
154,domain-adaptation-on-office-caltech-10,domain-adaptation,office-caltech-10,,
155,timedial-on-big-bench,timedial,big-bench,,
156,fever-2-way-on-big-bench,fever-2-way,big-bench,,
157,long-tail-learning-on-mini-imagenet-lt,long-tail-learning,mini-imagenet-lt,,
158,lane-detection-on-det,lane-detection,det,,
159,fine-grained-facial-editing-on-celeba-dialog,fine-grained-facial-editing,celeba-dialog,,
160,traffic-prediction-on-pemsd3,traffic-prediction,pemsd3,,
161,video-captioning-on-hindi-msr-vtt,video-captioning,hindi-msr-vtt,,
162,translation-est-eng-on-newsdev2018,translation-est-eng,newsdev2018,,
163,salient-object-detection-on-soc,salient-object-detection,soc,,
164,speech-recognition-on-bloom-speech-sdk,speech-recognition,bloom-speech-sdk,,
165,amr-to-text-generation-on-the-little-prince,amr-to-text-generation,the-little-prince,,
166,abstractive-text-summarization-on-wikihow,abstractive-text-summarization,wikihow,,
167,contextner-on-edgar10-q-dataset,contextner,edgar10-q-dataset,,
168,eeg-4-classes-on-eeg-motor-movement-imagery,eeg-4-classes,eeg-motor-movement-imagery-dataset,,
169,eeg-left-right-hand-on-eeg-motor-movement,eeg-left-right-hand,eeg-motor-movement-imagery-dataset,,
170,speech-recognition-on-bloom-speech-cak,speech-recognition,bloom-speech-cak,,
171,salient-object-detection-on-soc,salient-object-detection,soc,,
172,multi-target-domain-adaptation-on-obj-mda,multi-target-domain-adaptation,obj-mda,,
173,instance-segmentation-on-tbbr,instance-segmentation,tbbr,,
174,semi-supervised-image-classification-on-svhn-3,semi-supervised-image-classification,svhn-500-labels,,
175,unsupervised-person-re-identification-on-5,unsupervised-person-re-identification,dukemtmc-reid,,
176,unsupervised-domain-adaptation-on-office-31,unsupervised-domain-adaptation,office-31,,
177,face-anti-spoofing-on-casia-mfsd,face-anti-spoofing,casia-mfsd,,
178,unsupervised-domain-adaptation-on-office-31,unsupervised-domain-adaptation,office-31,,
179,sentence-embedding-on-text-similarity-fr,sentence-embedding-1,text-similarity-fr,,
180,monocular-3d-object-detection-on-kitti-cars-2,monocular-3d-object-detection,kitti-cars-easy,,
181,orangesum-on-orangesum-title,orangesum,orangesum-title,,
182,multi-label-text-classification-on-lf,multi-label-text-classification,lf-amzontitles-131k,,
183,spoof-detection-on-asvspoof-2019-pa,spoof-detection,asvspoof-2019-pa,,
184,few-shot-nli-on-qnli-8-training-examples-per,few-shot-nli,qnli-8-training-examples-per-class,,
185,online-multi-object-tracking-on-mot17,online-multi-object-tracking,mot17,,
186,image-similarity-detection-on-disc21-dev,image-similarity-detection,disc21-dev,,
187,spoof-detection-on-asvspoof-2019-pa,spoof-detection,asvspoof-2019-pa,,
188,translation-cat-spa-on-flores101-devtest,translation-cat-spa,flores101-devtest,,
189,novel-view-synthesis-on-rtmv,novel-view-synthesis,rtmv,,
190,bidirectional-relationship-classification-on,bidirectional-relationship-classification,visual-genome,,
191,answer-selection-on-ubuntu-dialogue-v1,answer-selection,ubuntu-dialogue-v1-ranking,,
192,super-resolution-on-pavia-centre,super-resolution,pavia-centre,,
193,earth-surface-forecasting-on-earthnet2021-ood,earth-surface-forecasting,earthnet2021-ood-track,,
194,translation-ron-ita-on-wmt21-ml-wp,translation-ron-ita,wmt21-ml-wp,,
195,reinforcement-learning-on-atari-roadrunner,reinforcement-learning-1,atari-roadrunner,,
196,translation-nob-isl-on-europeana2021,translation-nob-isl,europeana2021,,
197,reinforcement-learning-on-atari-privateye,reinforcement-learning-1,atari-privateye,,
198,image-classification-on-pascal-voc-2007,image-classification,pascal-voc-2007,,
199,token-classification-on-tner-fin,token-classification,tner-fin,,
200,pedestrian-attribute-recognition-on-rap,pedestrian-attribute-recognition,rap,,
201,anomaly-detection-on-vehicle-claims,anomaly-detection,vehicle-claims,,
202,change-point-detection-on-tssb,change-point-detection,tssb,,
203,dependency-parsing-on-dane,dependency-parsing,dane,,
204,graph-classification-on-sider,graph-classification,sider,,
205,math-information-retrieval-on-arqmath2,math-information-retrieval,arqmath2,,
206,extracting-buildings-in-remote-sensing-images-2,extracting-buildings-in-remote-sensing-images,whu-building-dataset,,
207,neural-network-compression-on-imagenet,neural-network-compression,imagenet,,
208,medical-image-segmentation-on-brain-us,medical-image-segmentation,brain-us,,
209,time-series-forecasting-on-etth1-168,time-series-forecasting,etth1-168,,
210,code-documentation-generation-on-2,code-documentation-generation,codesearchnet-go,,
211,zero-shot-cross-modal-retrieval-on-flickr30k,zero-shot-cross-modal-retrieval,flickr30k,,
212,multiple-object-tracking-on-bdd100k,multiple-object-tracking,bdd100k,,
213,sql-parsing-on-yelp,sql-parsing,yelp,,
214,link-prediction-on-yelp,link-prediction,yelp,,
215,graph-similarity-on-imdb,graph-similarity,imdb,,
216,object-detection-on-bdd100k,object-detection,bdd100k,,
217,multi-object-tracking-and-segmentation-on-2,multi-object-tracking-and-segmentation,bdd100k,,
218,speech-emotion-recognition-on-emovo,speech-emotion-recognition,emovo,,
219,action-quality-assessment-on-rhythmic,action-quality-assessment,rhythmic-gymnastic,,
220,nested-named-entity-recognition-on-ace-2005,nested-named-entity-recognition,ace-2005,,
221,graph-classification-on-csl,graph-classification,csl,,
222,emotion-recognition-in-conversation-on-meld,emotion-recognition-in-conversation,meld,,
223,recognizing-emotion-cause-in-conversations-on-1,recognizing-emotion-cause-in-conversations,emocause,,
224,unseen-object-instance-segmentation-on-wisdom,unseen-object-instance-segmentation,wisdom,,
225,semantic-image-text-similarity-on-cxc,semantic-image-text-similarity,cxc,,
226,weakly-supervised-defect-detection-on-3,weakly-supervised-defect-detection,kolektorsdd2,,
227,translation-por-ukr-on-flores101-devtest,translation-por-ukr,flores101-devtest,,
228,3d-object-classification-on-3r-scan-1,3d-object-classification,3r-scan-1,,
229,text-to-face-generation-on-10000-people-human,text-to-face-generation,10000-people-human-pose-recognition-data,,
230,graph-clustering-on-pollen-et-al,graph-clustering,pollen-et-al,,
231,text-to-face-generation-on-10000-people-human,text-to-face-generation,10000-people-human-pose-recognition-data,,
232,conversational-response-selection-on-douban,conversational-response-selection,douban-conversation-corpus,,
233,talking-face-generation-on-lrw,talking-face-generation,lrw,,
234,lip-reading-on-lrw,lip-reading,lrw,,
235,image-compression-on-bsds500,image-compression,bsds500,,
236,code-documentation-generation-on,code-documentation-generation,codesearchnet-python,,
237,text-generation-on-gsarti-flores-101-ces,text-generation,gsarti-flores-101-ces,,
238,token-classification-on-article500v5-wikigold,token-classification,article500v5-wikigold-split,,
239,text-generation-on-gsarti-flores-101-lit,text-generation,gsarti-flores-101-lit,,
240,token-classification-on-article500v3-wikigold,token-classification,article500v3-wikigold-split,,
241,semi-supervised-image-classification-on-mini-2,semi-supervised-image-classification,mini-imagenet-1000-labels,,
242,semi-supervised-semantic-segmentation-on-17,semi-supervised-semantic-segmentation,pascal-voc-2012-1000-labels,,
243,control-with-prametrised-actions-on-robot,control-with-prametrised-actions,robot-soccer-goal,,
244,weakly-supervised-object-localization-on-tiny,weakly-supervised-object-localization,tiny-imagenet,,
245,video-retrieval-on-youcook2,video-retrieval,youcook2,,
246,personality-trait-recognition-on-essays,personality-trait-recognition,essays,,
247,graph-ranking-on-zinc,graph-ranking,zinc,,
248,named-entity-recognition-on-findvehicle,named-entity-recognition-ner,findvehicle,,
249,image-classification-with-label-noise-on-4,image-classification-with-label-noise,cifar-10-40-idn,,
250,short-text-clustering-on-ag-news,short-text-clustering,ag-news,,
251,code-repair-on-codexglue-bugs2fix,code-repair,codexglue-bugs2fix,,
252,image-generation-on-clevr,image-generation,clevr,,
253,token-classification-on-source-data-nlp,token-classification,source-data-nlp,,
254,automatic-speech-recognition-on-dev-android,automatic-speech-recognition,dev-android,,
255,multiple-choice-question-answering-mcqa-on-1,multiple-choice-qa,medmcqa-with-context,,
256,sentiment-analysis-on-bramvanroy-hebban-1,sentiment-analysis,bramvanroy-hebban-reviews-filtered-rating-2-0,,
257,robot-navigation-on-habitat-2020-point-nav,robot-navigation,habitat-2020-point-nav-test-std,,
258,speech-recognition-on-common-voice-7-0,speech-recognition,common-voice-7-0-swedish,,
259,continuous-control-on-double-inverted,continuous-control,double-inverted-pendulum,,
260,action-classification-on-youcook2,action-classification,youcook2,,
261,image-super-resolution-on-kitti-2012-2x,image-super-resolution,kitti-2012-2x-upscaling,,
262,online-downbeat-tracking-on-rock-corpus,online-downbeat-tracking,rock-corpus,,
263,siqa-on-big-bench,siqa,big-bench,,
264,sparse-representation-based-classification-on,sparse-representation-based-classification,svhn,,
265,learning-with-noisy-labels-on-cifar-10,learning-with-noisy-labels,cifar-10,,
266,3d-object-classification-on-modelnet40,3d-object-classification,modelnet40,,
267,out-of-distribution-detection-on-cifar-10,out-of-distribution-detection,cifar-10,,
268,video-semantic-segmentation-on-camvid,video-semantic-segmentation,camvid,,
269,learning-with-noisy-labels-on-cifar-10,learning-with-noisy-labels,cifar-10,,
270,supervised-video-summarization-on-tvsum,supervised-video-summarization,tvsum,,
271,multi-class-classification-on-covid-chest-x,multi-class-classification,covid-chest-x-ray,,
272,skeleton-based-action-recognition-on-cad-120,skeleton-based-action-recognition,cad-120,,
273,image-super-resolution-on-manga109-4x,image-super-resolution,manga109-4x-upscaling,,
274,translation-nob-tur-on-flores101-devtest,translation-nob-tur,flores101-devtest,,
275,abstractive-text-summarization-on-cnn-daily-2,abstractive-text-summarization,cnn-daily-mail-1,,
276,compressive-sensing-on-bsds100-2x-upscaling,compressive-sensing,bsds100-2x-upscaling,,
277,recommendation-systems-on-lastfm-360k,recommendation-systems,last-fm-360k,,
278,token-classification-on-tagged-uni500v4,token-classification,tagged-uni500v4-wikigold-split,,
279,generalizable-person-re-identification-on-11,generalizable-person-re-identification,msmt-cuhk03-np-detected,,
280,reinforcement-learning-on-doom-deathmatch,reinforcement-learning-1,doom-deathmatch-bots,,
281,image-classification-on-chaoyang,image-classification,chaoyang,,
282,semantic-segmentation-on-shapenet,semantic-segmentation,shapenet,,
283,extreme-summarization-on-xsum,extreme-summarization,xsum,,
284,sign-language-recognition-on-autsl,sign-language-recognition,autsl,,
285,sign-language-recognition-on-autsl,sign-language-recognition,autsl,,
286,reinforcement-learning-on-doom-defend-the,reinforcement-learning-1,doom-defend-the-center-flat-actions,,
287,kg-to-text-generation-on-webnlg-2-0,kg-to-text,webnlg-2-0-unconstrained,,
288,kg-to-text-generation-on-webnlg-2-0-1,kg-to-text,webnlg-2-0-constrained,,
289,text-summarization-on-pubmed-1,text-summarization,pubmed,,
290,network-intrusion-detection-on-sidd-a-large,network-intrusion-detection,sidd-network,,
291,semantic-parsing-on-webquestionssp,semantic-parsing,webquestionssp,,
292,traffic-prediction-on-pemsd7-m,traffic-prediction,pemsd7-m,,
293,audio-classification-on-ucr-time-series,audio-classification,ucr-time-series-classification-archive,,
294,referring-expression-comprehension-on-2,referring-expression-comprehension,talk2car,,
295,hallucination-pair-wise-detection-4-ref-on,hallucination-pair-wise-detection-4-ref,foil,,
296,incomplete-multi-view-clustering-on-noisy,incomplete-multi-view-clustering,noisy-mnist,,
297,cloze-multi-choices-one-shot-on-cmrc-2019,cloze-multi-choices-one-shot,cmrc-2019,,
298,news-recommendation-on-mind,news-recommendation,mind,,
299,stereo-disparity-estimation-on-middlebury,stereo-disparity-estimation,middlebury-2014,,
300,node-classification-on-cora-full,node-classification,cora-full,,
301,graph-classification-on-wine,graph-classification,wine,,
302,multimodal-lexical-translation-on-multisubs-2,multimodal-lexical-translation,multisubs-english-french,,
303,fine-grained-urban-flow-inference-on-taxibj-3,fine-grained-urban-flow-inference,taxibj-p4,,
304,image-matting-on-phm-100,image-matting,phm-100,,
305,image-compressed-sensing-on-set11,image-compressed-sensing,set11,,
306,surveillance-to-single-on-ijb-s,surveillance-to-single,ijb-s,,
307,grasp-contact-prediction-on-contactpose,human-grasp-contact-prediction,contactpose,,
308,sentence-completion-on-hellaswag,sentence-completion,hellaswag,,
309,semantic-correspondence-on-caltech-101,semantic-correspondence,caltech-101,,
310,video-guided-machine-translation-on-vatex,video-guided-machine-translation,vatex-english-to-chinese,,
311,face-recognition-on-casia-webface-masks,face-recognition,casia-webface-masks,,
312,smac-on-smac-mmm2-1,smac,smac-mmm2-1,,
313,open-intent-detection-on-oos-50-known,open-intent-detection,oos-50-known,,
314,code-search-on-codesearchnet,code-search,codesearchnet,,
315,translation-eng-fra-on-newstest2013,translation-eng-fra,newstest2013,,
316,explanation-generation-on-clevr-x,explanation-generation,clevr-x,,
317,translation-eng-deu-on-newstest2018-ende,translation-eng-deu,newstest2018-ende,,
318,translation-deu-eng-on-newstest2015-deen,translation-deu-eng,newstest2015-deen,,
319,speech-recognition-on-common-voice-8-0,speech-recognition,common-voice-8-0-swedish,,
320,speech-recognition-on-gigaspeech-test,speech-recognition,gigaspeech-test,,
321,translation-rus-fra-on-newstest2013,translation-rus-fra,newstest2013,,
322,vehicle-re-identification-on-veri-wild-large,vehicle-re-identification,veri-wild-large,,
323,sketch-to-image-translation-on-coco-stuff,sketch-to-image-translation,coco-stuff,,
324,blind-super-resolution-on-div2krk-2x,blind-super-resolution,div2krk-2x-upscaling,,
325,video-question-answering-on-wildqa,video-question-answering,wildqa,,
326,emotion-classification-on-mfa,emotion-classification,mfa,,
327,common-sense-reasoning-on-visual-dialog-v0-9,common-sense-reasoning,visual-dialog-v0-9-1,,
328,continuous-control-500k-environment-steps-on-3,continuous-control-500k-environment-steps,deepmind-cheetah-run-images,,
329,unsupervised-video-summarization-on-tvsum,unsupervised-video-summarization,tvsum,,
330,automatic-speech-recognition-on-robust-speech,automatic-speech-recognition,robust-speech-event-dev-data,,
331,traffic-prediction-on-pemsd8-10-days-training-2,traffic-prediction,pemsd8-10-days-training-data-60min,,
332,claim-verification-on-fm2,claim-verification,fm2,,
333,anomaly-detection-on-anomaly-detection-on-1,anomaly-detection,anomaly-detection-on-unlabeled-imagenet-30-vs,,
334,sleep-stage-detection-on-isruc-sleep,sleep-stage-detection,isruc-sleep,,
335,medical-visual-question-answering-on-vqa,medical-visual-question-answering,vqa-slake,,
336,semi-supervised-video-object-segmentation-on-11,semi-supervised-video-object-segmentation,youtube-vos-1,,
337,out-of-distribution-detection-on-stl-10,out-of-distribution-detection,stl-10,,
338,bsds500-on-bsds-500-jpeg-quality-10,bsds500,bsds-500-jpeg-quality-10,,
339,extreme-summarization-on-citesum,extreme-summarization,citesum,,
340,action-classification-on-something-something-2,action-classification,something-something-v2,,
341,text-to-speech-synthesis-on-20000-utterances,text-to-speech-synthesis,20000-utterances,,
342,recommendation-systems-on-amazon-games,recommendation-systems,amazon-games,,
343,dialogue-generation-on-cmu-dog,dialogue-generation,cmu-dog-1,,
344,continuous-control-on-inverted-pendulum,continuous-control,inverted-pendulum,,
345,translation-bul-spa-on-tatoeba-test-v2021-08,translation-bul-spa,tatoeba-test-v2021-08-07,,
346,token-classification-on-tagged-uni100v4,token-classification,tagged-uni100v4-wikigold-split,,
347,sts-on-mnist,sts,mnist,,
348,unsupervised-image-classification-on-mnist,unsupervised-image-classification,mnist,,
349,nmt-on-mnist,nmt,mnist,,
350,text-summarization-on-webis-snippet-20-corpus,text-summarization,webis-snippet-20-corpus,,
351,handwritten-digit-recognition-on-mnist,handwritten-digit-recognition,mnist,,
352,3d-object-detection-from-stereo-images-on-1,3d-object-detection-from-stereo-images,kitti-cars-moderate,,
353,3d-object-detection-from-stereo-images-on-3,3d-object-detection-from-stereo-images,kitti-cyclists-moderate,,
354,object-localization-on-kitti-cyclists-hard,object-localization,kitti-cyclists-hard,,
355,hyperspectral-image-classification-on-pavia,hyperspectral-image-classification,pavia-university,,
356,scene-recognition-on-sun-rgbd,scene-recognition,sun-rgbd,,
357,object-localization-on-kitti-pedestrians-easy,object-localization,kitti-pedestrians-easy,,
358,model-description-based-search-on-generative,model-description-based-search,generative-models,,
